code;fishing_depth;lon;lat;datetime;sun_angle
30108;140;-179.93333;62.33333;31-May-2020 02:42:00;40.9676533
30108;140;-179.98333;62.31667;31-May-2020 07:00:00;12.46984546
30108;125;-179.11667;62.41667;31-May-2020 15:39:00;5.382241183
30108;100;-178.25;62.95;03-Jun-2020 02:42:00;40.38135268
30108;110;-178.31667;62.66667;03-Jun-2020 08:06:00;5.924041348
30108;100;-177.4;62.7;05-Jun-2020 01:27:00;46.54447788
30108;100;-177.06667;62.61667;05-Jun-2020 16:51:00;13.85228992
30108;100;-177.16667;62.55;06-Jun-2020 01:18:00;47.28483714
30108;100;-177.1;62.98333;06-Jun-2020 15:45:00;7.55506608
30108;100;-176.76667;62.96667;06-Jun-2020 18:45:00;26.83604744
30108;100;-176.61667;62.91667;07-Jun-2020 01:36:00;45.77306054
30108;100;-177.48333;62.31667;07-Jun-2020 11:51:00;-4.8584776
30108;100;-178.08333;62.13333;07-Jun-2020 16:54:00;13.68166884
30108;100;-177.46667;62.15;08-Jun-2020 03:00:00;39.27952762
30108;100;-177.4;62.15;08-Jun-2020 06:54:00;12.88820032
30108;100;-177.58333;62.16667;08-Jun-2020 15:00:00;3.128182139
30108;120;-179.33333;62.08333;11-Jun-2020 03:03:00;40.03786572
30108;100;-177.26667;63.1;18-Jun-2020 01:57:00;45.04269133
30108;100;-177.4;63.08333;18-Jun-2020 06:54:00;13.96177466
30108;100;-177.58333;63.11667;18-Jun-2020 11:45:00;-3.45344438
30108;100;-178.26667;63.05;20-Jun-2020 01:09:00;48.47720436
30108;100;-178.21667;63.01667;20-Jun-2020 11:36:00;-3.465636124
30108;100;-178.36667;62.83333;20-Jun-2020 17:45:00;19.58713534
30108;100;-177.76667;62.71667;22-Jun-2020 00:42:00;49.86337711
30108;100;-178.43333;62.13333;22-Jun-2020 12:54:00;-3.647873525
30108;100;-178.53333;62.2;22-Jun-2020 17:21:00;16.62094754
30108;105;-177.61667;62.28333;24-Jun-2020 02:30:00;43.00876646
30108;105;-177.36667;62.11667;24-Jun-2020 15:36:00;6.361529417
30108;100;-177.21667;62.08333;24-Jun-2020 18:51:00;27.45791058
30108;100;-177.16667;62.08333;25-Jun-2020 01:06:00;49.27072197
30108;105;-177.15;62.06667;25-Jun-2020 10:33:00;-3.135037119
30108;105;-177;61.9;25-Jun-2020 18:06:00;22.23218719
30108;130;-178.55;61.58333;29-Jun-2020 01:06:00;49.88257207
30108;130;-177.08333;62.01667;29-Jun-2020 12:06:00;-4.751083989
30108;100;-178.05;63.35;11-Jul-2020 02:48:00;39.92455544
30108;100;-177.65;63.48333;11-Jul-2020 11:45:00;-4.485720097
30108;100;-176.63333;63.73333;13-Jul-2020 01:36:00;44.61413548
30108;100;-177.86667;63.33333;13-Jul-2020 16:27:00;9.79145241
30108;100;-178.11667;63.21667;14-Jul-2020 02:48:00;39.66066496
30108;100;-177.73333;63.3;14-Jul-2020 10:54:00;-4.234034582
30108;100;-178.23333;63.55;14-Jul-2020 16:33:00;10.18871271
30108;100;-177.43333;63.48333;15-Jul-2020 06:21:00;16.34318868
30108;100;-177;63.28333;15-Jul-2020 12:24:00;-5.112928586
30108;100;-176.96667;63.33333;15-Jul-2020 17:42:00;17.68331477
30108;100;-177.01667;63.33333;16-Jul-2020 01:06:00;46.2631293
30108;100;-176.65;63.56667;16-Jul-2020 09:06:00;0.847628247
30108;100;-177;63.61667;16-Jul-2020 12:57:00;-4.264182354
30108;100;-178.03333;63.75;17-Jul-2020 05:00:00;25.27606097
30108;100;-177.53333;63.48333;17-Jul-2020 12:15:00;-5.374677527
30108;100;-177.63333;63.5;17-Jul-2020 17:30:00;15.81449581
30108;100;-177.3;63.55;18-Jul-2020 01:27:00;44.71264261
30108;100;-177.23333;63.5;18-Jul-2020 11:54:00;-5.611599478
30108;100;-177.28333;63.41667;18-Jul-2020 16:51:00;11.66895502
30108;100;-176.83333;62.9;19-Jul-2020 06:48:00;12.43251093
30108;100;-176.88333;62.58333;19-Jul-2020 12:21:00;-6.541655522
30108;100;-177.26667;62.7;19-Jul-2020 18:12:00;20.14752601
30108;100;-176.53333;62.8;20-Jul-2020 01:36:00;44.25938163
30108;100;-176.26667;62.61667;20-Jul-2020 10:09:00;-4.414848999
30108;100;-176.35;62.68333;20-Jul-2020 17:30:00;15.65510843
30108;100;-175.96667;62.7;21-Jul-2020 01:06:00;45.76760632
30108;100;-176.13333;62.75;21-Jul-2020 05:21:00;21.43986498
30108;100;-176.45;62.55;21-Jul-2020 12:39:00;-6.617787648
30108;170;-178.46667;61.38333;22-Jul-2020 08:24:00;2.217864772
30108;170;-178.4;61.4;22-Jul-2020 11:48:00;-8.44168595
30108;170;-178.65;61.46667;22-Jul-2020 16:09:00;5.215763274
30108;180;-179.78333;61;23-Jul-2020 02:51:00;39.87540293
30108;150;179.61667;61.21667;23-Jul-2020 12:06:00;-8.868710617
30108;150;179.6;61.21667;23-Jul-2020 15:39:00;1.363381024
30108;100;-179.9;62.45;28-Jul-2020 07:00:00;10.63373933
30108;160;-179.91667;62.16667;30-Jul-2020 19:51:00;28.2154822
30108;100;-179.7;62.51667;07-Aug-2020 09:42:00;-6.438402696
30108;350;147.46667;56.03333;12-Nov-2020 00:33:00;14.23401379
30108;340;147.1;56.03333;12-Nov-2020 01:30:00;15.98932523
30108;320;147.1;56.16667;13-Nov-2020 05:24:00;3.887157061
30108;340;147.21667;56.06667;13-Nov-2020 07:21:00;-10.27778728
30108;330;148.95;55.66667;14-Nov-2020 04:00:00;10.95871106
30108;340;148.93333;55.66667;14-Nov-2020 08:06:00;-17.49353876
30108;390;148.58333;55.66667;14-Nov-2020 00:51:00;14.98205603
30108;340;146.2;55.98333;15-Nov-2020 09:27:00;-27.49921718
30108;340;146.98333;56.11667;15-Nov-2020 02:42:00;14.69773752
30108;420;144.33333;55.85;16-Nov-2020 00:45:00;13.3340317
30108;290;145.86667;55.93333;16-Nov-2020 01:36:00;15.06139689
30108;350;146.2;56.03333;17-Nov-2020 02:24:00;14.73093899
30108;330;146.81667;56.16667;17-Nov-2020 07:45:00;-14.05385953
30108;330;146.81667;56.2;17-Nov-2020 17:24:00;-36.88595526
30108;350;146.83333;56.13333;18-Nov-2020 01:51:00;14.55218746
30108;320;146.58333;56.15;18-Nov-2020 12:24:00;-49.18820323
30108;350;147.08333;56.1;19-Nov-2020 01:24:00;14.04746136
30108;350;146.76667;56.1;19-Nov-2020 03:57:00;10.30534664
30108;340;147.08333;56.1;20-Nov-2020 00:45:00;12.62327727
30108;320;146.6;56.18333;20-Nov-2020 00:51:00;12.7074678
30108;340;146.45;56.16667;20-Nov-2020 17:06:00;-40.02557433
30108;330;147.08333;56.1;21-Nov-2020 00:21:00;11.24030777
30108;320;147.4;56.08333;21-Nov-2020 06:39:00;-6.353105369
30108;300;147.18333;56.2;21-Nov-2020 09:27:00;-28.97592072
30108;260;147.05;56.5;22-Nov-2020 00:12:00;10.13472698
30108;220;146.9;56.63333;22-Nov-2020 01:18:00;12.69884724
30108;310;147.16667;56.2;24-Nov-2020 05:09:00;3.280844501
30108;300;147.95;56;24-Nov-2020 09:03:00;-26.46596369
30108;300;147.71667;56.1;25-Nov-2020 00:12:00;10.01164906
30108;300;147.41667;56.16667;25-Nov-2020 05:33:00;0.632932055
30108;300;147.56667;56.13333;25-Nov-2020 08:03:00;-18.04271381
30108;300;147.8;56.08333;26-Nov-2020 00:57:00;11.91387178
30108;300;147.81667;56.08333;26-Nov-2020 07:12:00;-11.43934166
30108;300;147.41667;56.16667;26-Nov-2020 08:57:00;-25.54991857
30108;300;147.51667;56.15;27-Nov-2020 00:18:00;9.860550377
30108;300;146.98333;56.31667;27-Nov-2020 03:12:00;10.99714536
30108;290;147;56.3;27-Nov-2020 15:15:00;-52.31755265
30108;300;147.01667;56.31667;28-Nov-2020 00:24:00;9.732819351
30108;300;146.73333;56.36667;28-Nov-2020 14:54:00;-53.74715361
30108;300;147.08333;56.26667;29-Nov-2020 01:24:00;11.833519
30108;330;147.08333;56.13333;29-Nov-2020 04:30:00;6.098840372
30108;300;147.25;56.23333;29-Nov-2020 16:30:00;-45.70112489
30108;340;146.91667;56.11667;30-Nov-2020 01:06:00;11.32512205
30108;300;146.86667;56.35;30-Nov-2020 05:24:00;1.038218014
30108;300;147.21667;56.2;30-Nov-2020 15:30:00;-51.78101317
